frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
166,11,2,0.725,564.4,133.7,583.7,162.0,574.0,162.0,0,0,,,,-0.4,0.2,0.447,4.02
166,10,2,0.6252,781.8,149.7,800.7,180.1,791.2,180.1,0,0,,,,-0.7,0.3,0.762,6.85
167,7,2,0.8852,383.4,154.5,410.0,184.3,396.7,184.3,0,0,,,,0.0,-0.1,0.1,0.9
167,6,2,0.8573,621.9,133.0,646.4,160.9,634.2,160.9,0,0,,,,-0.8,-0.1,0.806,7.26
167,10,2,0.8339,780.7,149.6,799.9,179.7,790.3,179.7,0,0,,,,-0.9,-0.4,0.985,8.86
167,5,2,0.7765,850.8,168.6,878.2,199.3,864.5,199.3,0,0,,,,-1.8,0.0,1.8,16.2
167,11,2,0.4652,564.2,133.8,583.2,162.0,573.7,162.0,0,0,,,,-0.3,0.0,0.3,2.7
168,7,2,0.8692,383.4,154.0,409.6,183.6,396.5,183.6,0,0,,,,-0.2,-0.7,0.728,6.55
168,6,2,0.8659,621.7,132.7,645.8,160.9,633.7,160.9,0,0,,,,-0.5,0.0,0.5,4.5
168,5,2,0.7849,849.5,168.1,876.6,199.3,863.0,199.3,0,0,,,,-1.5,0.0,1.5,13.5
168,10,2,0.7468,779.0,149.6,798.0,179.5,788.5,179.5,0,0,,,,-1.8,-0.2,1.811,16.3
168,11,2,0.4313,562.5,133.3,582.5,161.6,572.5,161.6,0,0,,,,-1.2,-0.4,1.265,11.38
169,6,2,0.8778,620.0,132.7,644.8,160.6,632.4,160.6,0,0,,,,-1.3,-0.3,1.334,12.01
169,7,2,0.8774,382.7,153.1,408.7,183.1,395.7,183.1,0,0,,,,-0.8,-0.5,0.943,8.49
169,5,2,0.8562,847.9,167.9,875.9,197.3,861.9,197.3,0,0,,,,-1.1,-2.0,2.283,20.54
169,10,2,0.5759,777.9,148.7,797.0,178.6,787.5,178.6,0,0,,,,-1.0,-0.9,1.345,12.11
169,11,2,0.4457,561.4,132.9,581.6,160.8,571.5,160.8,0,0,,,,-1.0,-0.8,1.281,11.53
170,7,2,0.8825,382.7,153.2,408.6,183.1,395.7,183.1,0,0,,,,0.0,0.0,0.0,0.0
170,6,2,0.8611,618.8,132.3,643.8,160.8,631.3,160.8,0,0,,,,-1.1,0.2,1.118,10.06
170,5,2,0.7234,845.9,167.4,873.3,197.2,859.6,197.2,0,0,,,,-2.3,-0.1,2.302,20.72
170,17,2,0.5948,596.0,131.1,603.2,159.2,599.6,159.2,0,0,,,,0.0,0.0,0.0,0.0
